method,class,channel,band,real_frac,method_frac,delta
random_open_loop,worn,AE_spindle,100-125,0.034514,0.048729,0.014215
random_open_loop,severe,smcAC,0-8,0.003696,0.006501,0.002805
random_open_loop,severe,smcAC,8-20,0.986361,0.937661,-0.048700
random_open_loop,severe,smcAC,20-40,0.002536,0.012024,0.009488
random_open_loop,severe,smcAC,40-70,0.002280,0.015729,0.013449
random_open_loop,severe,smcAC,70-100,0.002821,0.016556,0.013735
random_open_loop,severe,smcAC,100-125,0.002305,0.011529,0.009223
random_open_loop,severe,smcDC,0-8,0.909220,0.723094,-0.186127
random_open_loop,severe,smcDC,8-20,0.026629,0.143096,0.116467
random_open_loop,severe,smcDC,20-40,0.063954,0.060857,-0.003097
random_open_loop,severe,smcDC,40-70,0.000137,0.027994,0.027857
random_open_loop,severe,smcDC,70-100,0.000038,0.025722,0.025684
random_open_loop,severe,smcDC,100-125,0.000022,0.019238,0.019216
random_open_loop,severe,vib_table,0-8,0.047298,0.028774,-0.018524
random_open_loop,severe,vib_table,8-20,0.309386,0.307280,-0.002106
random_open_loop,severe,vib_table,20-40,0.216909,0.377603,0.160694
random_open_loop,severe,vib_table,40-70,0.125918,0.136892,0.010974
random_open_loop,severe,vib_table,70-100,0.287301,0.124440,-0.162860
random_open_loop,severe,vib_table,100-125,0.013189,0.025011,0.011823
random_open_loop,severe,vib_spindle,0-8,0.210732,0.488320,0.277588
random_open_loop,severe,vib_spindle,8-20,0.200274,0.123486,-0.076787
random_open_loop,severe,vib_spindle,20-40,0.204689,0.119427,-0.085261
random_open_loop,severe,vib_spindle,40-70,0.178395,0.114835,-0.063560
random_open_loop,severe,vib_spindle,70-100,0.134462,0.078715,-0.055747
random_open_loop,severe,vib_spindle,100-125,0.071450,0.075217,0.003767
random_open_loop,severe,AE_table,0-8,0.124164,0.079579,-0.044584
random_open_loop,severe,AE_table,8-20,0.171550,0.245196,0.073646
random_open_loop,severe,AE_table,20-40,0.145076,0.214592,0.069516
random_open_loop,severe,AE_table,40-70,0.101338,0.155573,0.054236
random_open_loop,severe,AE_table,70-100,0.426352,0.251196,-0.175156
random_open_loop,severe,AE_table,100-125,0.031521,0.053864,0.022343
random_open_loop,severe,AE_spindle,0-8,0.234738,0.106086,-0.128652
random_open_loop,severe,AE_spindle,8-20,0.150976,0.205589,0.054613
random_open_loop,severe,AE_spindle,20-40,0.150509,0.214499,0.063990
random_open_loop,severe,AE_spindle,40-70,0.099786,0.143964,0.044177
random_open_loop,severe,AE_spindle,70-100,0.334079,0.279785,-0.054295
random_open_loop,severe,AE_spindle,100-125,0.029911,0.050078,0.020166
noise_aug,sharp,smcAC,0-8,0.010713,0.007944,-0.002769
noise_aug,sharp,smcAC,8-20,0.972054,0.975083,0.003028
noise_aug,sharp,smcAC,20-40,0.007453,0.005524,-0.001929
noise_aug,sharp,smcAC,40-70,0.003466,0.003909,0.000443
noise_aug,sharp,smcAC,70-100,0.003211,0.004263,0.001053
noise_aug,sharp,smcAC,100-125,0.003103,0.003277,0.000174
noise_aug,sharp,smcDC,0-8,0.841144,0.572685,-0.268459
noise_aug,sharp,smcDC,8-20,0.071300,0.081238,0.009939
noise_aug,sharp,smcDC,20-40,0.056334,0.105368,0.049034
noise_aug,sharp,smcDC,40-70,0.025449,0.094761,0.069312
noise_aug,sharp,smcDC,70-100,0.005436,0.081768,0.076332
noise_aug,sharp,smcDC,100-125,0.000338,0.064179,0.063841
noise_aug,sharp,vib_table,0-8,0.027573,0.015257,-0.012317
noise_aug,sharp,vib_table,8-20,0.414325,0.466009,0.051684
noise_aug,sharp,vib_table,20-40,0.253753,0.262928,0.009175
noise_aug,sharp,vib_table,40-70,0.128963,0.155035,0.026073
noise_aug,sharp,vib_table,70-100,0.165860,0.089403,-0.076457
noise_aug,sharp,vib_table,100-125,0.009526,0.011367,0.001841
noise_aug,sharp,vib_spindle,0-8,0.106931,0.240817,0.133886
noise_aug,sharp,vib_spindle,8-20,0.299465,0.228892,-0.070573
noise_aug,sharp,vib_spindle,20-40,0.143018,0.168711,0.025692
noise_aug,sharp,vib_spindle,40-70,0.236568,0.191188,-0.045380
noise_aug,sharp,vib_spindle,70-100,0.156027,0.103303,-0.052724
noise_aug,sharp,vib_spindle,100-125,0.057991,0.067089,0.009098
noise_aug,sharp,AE_table,0-8,0.066627,0.040257,-0.026369
noise_aug,sharp,AE_table,8-20,0.356623,0.397013,0.040390
noise_aug,sharp,AE_table,20-40,0.223879,0.214824,-0.009055
noise_aug,sharp,AE_table,40-70,0.139254,0.157108,0.017854
noise_aug,sharp,AE_table,70-100,0.166297,0.135899,-0.030399
noise_aug,sharp,AE_table,100-125,0.047321,0.054899,0.007579
