class,source,frequency_hz,q25,median,q75,n_windows,demodulation_hz
IR,real,85.9375,0.00013514799552038183,0.0002826105316867994,0.0007623162491863072,1444,500-2000
IR,real,89.84375,0.00014818364006403202,0.0002990926951365679,0.0010397026878820608,1444,500-2000
IR,real,93.75,0.00011097691437724685,0.00020455462764332075,0.00042380332442830626,1444,500-2000
IR,real,97.65625,0.00010414376457669828,0.0001962570251889388,0.0003895172306532494,1444,500-2000
IR,real,101.5625,0.00016252385351682344,0.0003456956534962228,0.0008245411429717779,1444,500-2000
IR,real,105.46875,0.00021773959851154037,0.0003826760167776427,0.0008558482791539749,1444,500-2000
IR,real,109.375,0.00010610900832104456,0.00019302058599317143,0.00034705262994313296,1444,500-2000
IR,real,113.28125,9.935784599727308e-05,0.00019716761348413206,0.0003716162232509827,1444,500-2000
IR,real,117.1875,0.00010791515393295427,0.0002373570040934091,0.0007275062669477055,1444,500-2000
IR,real,121.09375,9.60802752287694e-05,0.0002071718689233721,0.00056982936617355,1444,500-2000
IR,real,125.0,7.723082913296226e-05,0.0001457944216736698,0.00026953584046662945,1444,500-2000
IR,real,128.90625,9.611548574407507e-05,0.0002222184785304233,0.0005173180028445339,1444,500-2000
IR,real,132.8125,0.00012143112329813876,0.00031753387561860014,0.0008392186123004887,1444,500-2000
IR,real,136.71875,0.00010031325587147964,0.000202595454036869,0.0005003935108939232,1444,500-2000
IR,real,140.625,8.905978924438093e-05,0.00015243345449966744,0.0002691678683476883,1444,500-2000
IR,real,144.53125,0.00010867274354459073,0.0002484465487118438,0.0006010988558331768,1444,500-2000
IR,real,148.4375,0.0001256665520064727,0.00034379570715663174,0.0008776666446931166,1444,500-2000
IR,real,152.34375,0.00010994449328091572,0.00022951853901893044,0.00046578992326462565,1444,500-2000
IR,real,156.25,0.0001401920282301242,0.00021497464979618658,0.00033282837916074866,1444,500-2000
IR,real,160.15625,0.00014384244975470847,0.000251983558533658,0.0006366522152817848,1444,500-2000
IR,real,164.0625,0.00010157881909590153,0.00024649051061914276,0.0007498030502576007,1444,500-2000
