method,class,channel,band,real_frac,method_frac,delta
noise_aug,sharp,smcAC,8-20,0.972054,0.975666,0.003611
noise_aug,sharp,smcAC,20-40,0.007453,0.005078,-0.002375
noise_aug,sharp,smcAC,40-70,0.003466,0.004279,0.000813
noise_aug,sharp,smcAC,70-100,0.003211,0.004583,0.001373
noise_aug,sharp,smcAC,100-125,0.003103,0.003094,-0.000009
noise_aug,sharp,smcDC,0-8,0.841144,0.528774,-0.312369
noise_aug,sharp,smcDC,8-20,0.071300,0.084563,0.013263
noise_aug,sharp,smcDC,20-40,0.056334,0.104469,0.048135
noise_aug,sharp,smcDC,40-70,0.025449,0.121400,0.095951
noise_aug,sharp,smcDC,70-100,0.005436,0.087803,0.082367
noise_aug,sharp,smcDC,100-125,0.000338,0.072991,0.072653
noise_aug,sharp,vib_table,0-8,0.027573,0.007277,-0.020296
noise_aug,sharp,vib_table,8-20,0.414325,0.280109,-0.134215
noise_aug,sharp,vib_table,20-40,0.253753,0.423041,0.169288
noise_aug,sharp,vib_table,40-70,0.128963,0.193016,0.064053
noise_aug,sharp,vib_table,70-100,0.165860,0.087792,-0.078068
noise_aug,sharp,vib_table,100-125,0.009526,0.008764,-0.000762
noise_aug,sharp,vib_spindle,0-8,0.106931,0.160415,0.053484
noise_aug,sharp,vib_spindle,8-20,0.299465,0.238220,-0.061245
noise_aug,sharp,vib_spindle,20-40,0.143018,0.225709,0.082690
noise_aug,sharp,vib_spindle,40-70,0.236568,0.208760,-0.027808
noise_aug,sharp,vib_spindle,70-100,0.156027,0.101785,-0.054242
noise_aug,sharp,vib_spindle,100-125,0.057991,0.065112,0.007122
noise_aug,sharp,AE_table,0-8,0.066627,0.046384,-0.020243
noise_aug,sharp,AE_table,8-20,0.356623,0.329564,-0.027059
noise_aug,sharp,AE_table,20-40,0.223879,0.260664,0.036785
noise_aug,sharp,AE_table,40-70,0.139254,0.155314,0.016060
noise_aug,sharp,AE_table,70-100,0.166297,0.147692,-0.018605
noise_aug,sharp,AE_table,100-125,0.047321,0.060382,0.013062
noise_aug,sharp,AE_spindle,0-8,0.041541,0.039665,-0.001876
noise_aug,sharp,AE_spindle,8-20,0.373351,0.314041,-0.059311
noise_aug,sharp,AE_spindle,20-40,0.325461,0.377256,0.051795
noise_aug,sharp,AE_spindle,40-70,0.131478,0.142464,0.010987
noise_aug,sharp,AE_spindle,70-100,0.085430,0.075903,-0.009527
noise_aug,sharp,AE_spindle,100-125,0.042739,0.050671,0.007932
noise_aug,worn,smcAC,0-8,0.004151,0.002611,-0.001539
noise_aug,worn,smcAC,8-20,0.985060,0.986994,0.001934
noise_aug,worn,smcAC,20-40,0.003068,0.002400,-0.000668
noise_aug,worn,smcAC,40-70,0.002552,0.002798,0.000247
noise_aug,worn,smcAC,70-100,0.002816,0.003038,0.000222
noise_aug,worn,smcAC,100-125,0.002354,0.002158,-0.000196
noise_aug,worn,smcDC,0-8,0.927060,0.791703,-0.135357
noise_aug,worn,smcDC,8-20,0.025119,0.023863,-0.001256
noise_aug,worn,smcDC,20-40,0.040522,0.061013,0.020491
noise_aug,worn,smcDC,40-70,0.006290,0.043730,0.037440
noise_aug,worn,smcDC,70-100,0.000814,0.045154,0.044340
noise_aug,worn,smcDC,100-125,0.000195,0.034537,0.034342
noise_aug,worn,vib_table,0-8,0.052770,0.041739,-0.011030
noise_aug,worn,vib_table,8-20,0.214616,0.176307,-0.038309
noise_aug,worn,vib_table,20-40,0.287798,0.343930,0.056132
noise_aug,worn,vib_table,40-70,0.114899,0.077609,-0.037290
noise_aug,worn,vib_table,70-100,0.317423,0.345754,0.028331
noise_aug,worn,vib_table,100-125,0.012494,0.014660,0.002166
